key,source,url,srcid,shell,z_cross,z_best,logM,phot_flux_radius,eqw_hb,phot_restV,phi_ratio,l3_kpc,l3_l2,flag
srcid_0000234_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000234_Shell_C.png,234.0,,,-1.0,,,,,2.6858898813219075e-84,,,BAD_Z
srcid_0000273_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000273_Shell_C.png,273.0,Shell_C,6.0,3.5901433333333337,10.787600670783434,9.87,-5.0004563,0.4938588,0.6374,4.613,1.697,
srcid_0000281_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0000281_Shell_C.png,281.0,,,-1.0,,,,,2.6858898813219075e-84,,,BAD_Z
srcid_0001045_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0001045_Shell_C.png,1045.0,Shell_C,6.0,4.5253434,10.488269738858948,2.31,2032.3385,0.39453506,0.9034,0.98,0.36,
srcid_0001275_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0001275_Shell_C.png,1275.0,Shell_C,6.0,3.6295312,10.450984759739645,9.85,95.26782,1.2488117,0.6541,4.585,1.686,
srcid_0001333_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0001333_Shell_C.png,1333.0,Shell_C,6.0,2.303933633333333,11.30796328251055,8.67,131.00044,6.129331,-0.2023,4.589,1.688,
srcid_0001385_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0001385_Shell_C.png,1385.0,Shell_C,6.0,2.59592815,11.160334275610358,9.94,-100.75421,0.9066076,0.0213,5.132,1.887,
srcid_0002235_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0002235_Shell_C.png,2235.0,Shell_C,6.0,3.5376053,10.469573164166201,10.5,121.85113,2.8480482,0.6143,4.935,1.815,
srcid_0002263_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0002263_Shell_C.png,2263.0,Shell_C,6.0,2.47749905,10.582965479088775,10.49,43.370716,1.5887108,-0.0705,5.473,2.013,
srcid_0002422_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0002422_Shell_C.png,2422.0,Shell_C,6.0,3.472168733333333,10.682091172590601,9.6,,1.228728,0.584,4.543,1.671,
srcid_0002532_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0002532_Shell_C.png,2532.0,Shell_C,6.0,2.5321514,11.32027672272072,10.54,192.34831,0.8716736,-0.0281,5.473,2.013,
srcid_0003011_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003011_Shell_C.png,3011.0,Shell_C,6.0,2.8124304,10.534794610965259,9.39,-35.27959,1.6289876,0.1845,4.75,1.747,
srcid_0003111_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003111_Shell_C.png,3111.0,Shell_C,6.0,2.4416958666666666,10.61819121284338,8.59,14.556884,3.075457,-0.0982,4.496,1.653,
srcid_0003632_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003632_Shell_C.png,3632.0,Shell_C,6.0,2.22606015,10.578187498013817,9.13,95.624466,2.2900977,-0.2579,4.861,1.788,
srcid_0003679_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003679_Shell_C.png,3679.0,Shell_C,6.0,2.5513308,9.835989881903277,5.95,96.27073,1.1152982,-0.0132,3.084,1.134,
srcid_0003768_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003768_Shell_C.png,3768.0,Shell_C,6.0,2.1874535,10.713209680856487,9.51,0.0,3.5172818,-0.2841,5.078,1.868,
srcid_0003839_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003839_Shell_C.png,3839.0,Shell_C,6.0,1.9557634,,,86.25899,,-0.4109,,,
srcid_0003847_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003847_Shell_C.png,3847.0,Shell_C,6.0,3.148488,10.495301243973055,2.13,,0.60040593,0.4093,1.042,0.383,
srcid_0003929_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003929_Shell_C.png,3929.0,Shell_C,6.0,2.68931,10.549250520535953,9.96,-76.51095,2.0027559,0.0929,5.098,1.875,
srcid_0003994_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0003994_Shell_C.png,3994.0,Shell_C,6.0,2.3060777,10.838966108935349,8.98,-45.946808,2.8417017,-0.2007,4.752,1.748,
srcid_0004307_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0004307_Shell_C.png,4307.0,Shell_C,6.0,5.517493,10.400239027066329,2.06,197.29437,0.16884612,0.9927,0.792,0.291,
srcid_0004500_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0004500_Shell_C.png,4500.0,Shell_C,6.0,2.08359185,11.010210328508458,9.54,-58.214947,3.9224994,-0.3484,5.13,1.887,
srcid_0005510_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0005510_Shell_C.png,5510.0,Shell_C,6.0,3.47058245,11.311249696898601,9.46,5.9292216,1.148471,0.5832,4.477,1.647,
srcid_0006792_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0006792_Shell_C.png,6792.0,Shell_C,6.0,3.4701843,11.138787507051639,9.43,77.78012,6.254452,0.583,4.463,1.641,
srcid_0007527_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0007527_Shell_C.png,7527.0,Shell_C,6.0,2.469624,10.801791308756428,9.12,-36.140926,1.4796846,-0.0766,4.762,1.751,
srcid_0008393_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0008393_Shell_C.png,8393.0,Shell_C,6.0,2.2164865,11.104175857026632,8.94,4.690969,2.0035596,-0.2644,4.763,1.752,
srcid_0008777_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0008777_Shell_C.png,8777.0,Shell_C,6.0,4.653013,10.758327551417961,2.54,-54.171658,2.0783005,0.923,1.064,0.391,
srcid_0008850_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0008850_Shell_C.png,8850.0,Shell_C,6.0,2.9232763333333334,10.751852855066753,11.06,81.10368,3.3442106,0.2631,5.535,2.036,
srcid_0009226_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0009226_Shell_C.png,9226.0,Shell_C,6.0,3.7241027,10.741461037761532,2.14,550.2117,0.75917006,0.6918,0.986,0.363,
srcid_0009871_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0009871_Shell_C.png,9871.0,Shell_C,6.0,2.0470173,11.377723885131058,10.01,,3.6334238,-0.3685,5.395,1.984,
srcid_0011337_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0011337_Shell_C.png,11337.0,Shell_C,6.0,2.095612,11.117007954947372,9.51,,9.679639,-0.3415,5.11,1.879,
srcid_0014349_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0014349_Shell_C.png,14349.0,Shell_C,6.0,2.56255,10.423891838219843,9.39,,2.0163789,-0.0045,4.863,1.788,
srcid_0016424_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0016424_Shell_C.png,16424.0,Shell_C,6.0,2.01674,,,35.139877,,-0.3838,,,
srcid_0016781_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0016781_Shell_C.png,16781.0,Shell_C,6.0,2.5321514,11.32027672272072,10.54,33.002117,0.8716736,-0.0281,5.473,2.013,
srcid_0016874_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0016874_Shell_C.png,16874.0,Shell_C,6.0,2.1017753666666668,10.642379845540802,10.11,,2.157124,-0.3379,5.43,1.997,
srcid_0017919_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0017919_Shell_C.png,17919.0,Shell_C,6.0,3.25025,11.353672485787834,10.38,-15.215214,3.220111,0.4687,5.026,1.848,
srcid_0018252_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0018252_Shell_C.png,18252.0,Shell_C,6.0,2.5553971,11.724870465507857,8.44,,1.970231,-0.0101,4.373,1.608,
srcid_0018513_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0018513_Shell_C.png,18513.0,Shell_C,6.0,2.8903923,10.958874509118601,10.52,0.0,0.7078724,0.2402,5.282,1.942,
srcid_0018688_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0018688_Shell_C.png,18688.0,Shell_C,6.0,2.007229333333333,11.284565246702766,8.31,,5.062628,-0.3884,4.489,1.651,
srcid_0018839_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0018839_Shell_C.png,18839.0,Shell_C,6.0,2.3186982,10.79177093940596,8.77,-45.11868,1.4795291,-0.1914,4.637,1.705,
srcid_0019470_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0019470_Shell_C.png,19470.0,Shell_C,6.0,2.86661,10.691170663915562,9.73,-6.568935,2.3897548,0.2234,4.896,1.801,
srcid_0019532_Shell_C,qec9_shell_c_batch2,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/qec9_shell_c_batch2__srcid_0019532_Shell_C.png,19532.0,Shell_C,6.0,2.6070695,10.805226245930346,10.07,211.2184,1.1485413,0.0299,5.194,1.91,
